Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.000261922,-0.0281407237052917,-0.547738676890731,
,,,-0.000259906,-0.0442211255431175,-0.527638174593449,
,,,-0.00025789,-0.0281407237052917,-0.547738676890731,
,,,-0.000255874,-0.0281407237052917,-0.547738676890731,
,,,-0.000253858,-0.0281407237052917,-0.547738676890731,
,,,-0.000251842,-0.0281407237052917,-0.547738676890731,
,,,-0.000249826,-0.0281407237052917,-0.547738676890731,
,,,-0.00024781,-0.0281407237052917,-0.547738676890731,
,,,-0.000245794,-0.0281407237052917,-0.547738676890731,
,,,-0.000243778,-0.0281407237052917,-0.547738676890731,
,,,-0.000241762,-0.0281407237052917,-0.547738676890731,
,,,-0.000239746,-0.0281407237052917,-0.547738676890731,
,,,-0.00023773,-0.0281407237052917,-0.547738676890731,
,,,-0.000235714,-0.0442211255431175,-0.547738676890731,
,,,-0.000233698,-0.0442211255431175,-0.547738676890731,
,,,-0.000231682,-0.0281407237052917,-0.547738676890731,
,,,-0.000229666,-0.0281407237052917,-0.547738676890731,
,,,-0.00022765,-0.0281407237052917,-0.547738676890731,
,,,-0.000225634,-0.0281407237052917,-0.547738676890731,
,,,-0.000223618,-0.0281407237052917,-0.547738676890731,
,,,-0.000221602,-0.0281407237052917,-0.567839179188013,
,,,-0.000219586,-0.0281407237052917,-0.547738676890731,
,,,-0.00021757,-0.0281407237052917,-0.547738676890731,
,,,-0.000215554,-0.0281407237052917,-0.547738676890731,
,,,-0.000213538,-0.0281407237052917,-0.547738676890731,
,,,-0.000211522,-0.0281407237052917,-0.547738676890731,
,,,-0.000209506,-0.0281407237052917,-0.547738676890731,
,,,-0.00020749,-0.0281407237052917,-0.547738676890731,
,,,-0.000205474,-0.0281407237052917,-0.547738676890731,
,,,-0.000203458,-0.0281407237052917,-0.547738676890731,
,,,-0.000201442,-0.0281407237052917,-0.547738676890731,
,,,-0.000199426,-0.0281407237052917,-0.547738676890731,
,,,-0.00019741,-0.0281407237052917,-0.547738676890731,
,,,-0.000195394,-0.0281407237052917,-0.547738676890731,
,,,-0.000193378,-0.0281407237052917,-0.547738676890731,
,,,-0.000191362,-0.0281407237052917,-0.547738676890731,
,,,-0.000189346,-0.0442211255431175,-0.547738676890731,
,,,-0.00018733,-0.0442211255431175,-0.547738676890731,
,,,-0.000185314,-0.0442211255431175,-0.527638174593449,
,,,-0.000183298,-0.0281407237052917,-0.547738676890731,
,,,-0.000181282,-0.0281407237052917,-0.547738676890731,
,,,-0.000179266,-0.0281407237052917,-0.547738676890731,
,,,-0.00017725,-0.0281407237052917,-0.547738676890731,
,,,-0.000175234,-0.0281407237052917,-0.547738676890731,
,,,-0.000173218,-0.0281407237052917,-0.567839179188013,
,,,-0.000171202,-0.0442211255431175,-0.547738676890731,
,,,-0.000169186,-0.0281407237052917,-0.547738676890731,
,,,-0.00016717,-0.0281407237052917,-0.547738676890731,
,,,-0.000165154,-0.0281407237052917,-0.547738676890731,
,,,-0.000163138,-0.0281407237052917,-0.567839179188013,
,,,-0.000161122,-0.0281407237052917,-0.547738676890731,
,,,-0.000159106,-0.0281407237052917,-0.547738676890731,
,,,-0.00015709,-0.0281407237052917,-0.547738676890731,
,,,-0.000155074,-0.0281407237052917,-0.547738676890731,
,,,-0.000153058,-0.0281407237052917,-0.547738676890731,
,,,-0.000151042,-0.0281407237052917,-0.547738676890731,
,,,-0.000149026,-0.0281407237052917,-0.527638174593449,
,,,-0.00014701,-0.0281407237052917,-0.547738676890731,
,,,-0.000144994,-0.0281407237052917,-0.547738676890731,
,,,-0.000142978,-0.0281407237052917,-0.547738676890731,
,,,-0.000140962,-0.0281407237052917,-0.547738676890731,
,,,-0.000138946,-0.0281407237052917,-0.547738676890731,
,,,-0.00013693,-0.0281407237052917,-0.547738676890731,
,,,-0.000134914,-0.0281407237052917,-0.547738676890731,
,,,-0.000132898,-0.0281407237052917,-0.547738676890731,
