Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2014A,,Time (s),2 (VOLT),3 (VOLT),,Time (s),M1,
Fall Time(3),,,-0.000503952,0.58665454084985,4.71977394074202,,-0.000503952,4.13015292561613,
Cur,2.4E-08 s,,-0.000503856,0.58916710363701,4.71977394074202,,-0.000503856,4.12819980084896,
,,,-0.00050376,0.59293594781775,4.71977394074202,,-0.00050376,4.12429355131462,
Amplitude(1),,,-0.000503664,0.584141978062689,4.754949813243,,-0.000503664,4.16726229619235,
Cur,No signal,,-0.000503568,0.59419222921133,4.71977394074202,,-0.000503568,4.12234042654745,
,,,-0.000503472,0.58916710363701,4.72982419002801,,-0.000503472,4.13796542468481,
Rise Time(M),,,-0.000503376,0.58665454084985,4.72982419002801,,-0.000503376,4.13991854945198,
Cur,No signal,,-0.00050328,0.59293594781775,4.71977394074202,,-0.00050328,4.12429355131462,
,,,-0.000503184,0.59293594781775,4.71977394074202,,-0.000503184,4.12429355131462,
Fall Time(M),,,-0.000503088,0.59167966642417,4.71977394074202,,-0.000503088,4.12429355131462,
Cur,2.4E-08 s,,-0.000502992,0.582885696669109,4.71977394074202,,-0.000502992,4.13405917515047,
,,,-0.000502896,0.584141978062689,4.71977394074202,,-0.000502896,4.1321060503833,
,,,-0.0005028,0.58791082224343,4.71977394074202,,-0.0005028,4.12819980084896,
,,,-0.000502704,0.58791082224343,4.73987443931401,,-0.000502704,4.14773104852065,
,,,-0.000502608,0.582885696669109,4.71977394074202,,-0.000502608,4.13405917515047,
,,,-0.000502512,0.59419222921133,4.72982419002801,,-0.000502512,4.1321060503833,
,,,-0.000502416,0.59293594781775,4.71977394074202,,-0.000502416,4.12429355131462,
,,,-0.00050232,0.58665454084985,4.71977394074202,,-0.00050232,4.13015292561613,
,,,-0.000502224,0.59293594781775,4.72982419002801,,-0.000502224,4.13405917515047,
,,,-0.000502128,0.581629415275529,4.71977394074202,,-0.000502128,4.13405917515047,
,,,-0.000502032,0.580373133881949,4.71977394074202,,-0.000502032,4.13601229991764,
,,,-0.000501936,0.58665454084985,4.71977394074202,,-0.000501936,4.13015292561613,
,,,-0.00050184,0.58665454084985,4.71977394074202,,-0.00050184,4.13015292561613,
,,,-0.000501744,0.574091726914048,4.7499246886,,-0.000501744,4.17312167049386,
,,,-0.000501648,0.58916710363701,4.74489956395701,,-0.000501648,4.15163729805499,
,,,-0.000501552,0.576604289701208,4.72982419002801,,-0.000501552,4.14968417328782,
,,,-0.000501456,0.59419222921133,4.71977394074202,,-0.000501456,4.12234042654745,
,,,-0.00050136,0.585398259456269,4.71977394074202,,-0.00050136,4.13015292561613,
,,,-0.000501264,0.581629415275529,4.71977394074202,,-0.000501264,4.13405917515047,
,,,-0.000501168,0.580373133881949,4.71977394074202,,-0.000501168,4.13601229991764,
,,,-0.000501072,0.58665454084985,4.72479906538501,,-0.000501072,4.13405917515047,
,,,-0.000500976,0.58791082224343,4.71977394074202,,-0.000500976,4.12819980084896,
,,,-0.00050088,0.581629415275529,4.71977394074202,,-0.00050088,4.13405917515047,
,,,-0.000500784,0.579116852488369,4.71977394074202,,-0.000500784,4.13796542468481,
,,,-0.000500688,0.59293594781775,4.71977394074202,,-0.000500688,4.12429355131462,
,,,-0.000500592,0.58665454084985,4.71977394074202,,-0.000500592,4.13015292561613,
,,,-0.000500496,0.585398259456269,4.71977394074202,,-0.000500496,4.13015292561613,
,,,-0.0005004,0.585398259456269,4.71977394074202,,-0.0005004,4.13015292561613,
,,,-0.000500304,0.59419222921133,4.72479906538501,,-0.000500304,4.12819980084896,
,,,-0.000500208,0.58916710363701,4.71977394074202,,-0.000500208,4.12819980084896,
,,,-0.000500112,0.59042338503059,4.71977394074202,,-0.000500112,4.12624667608179,
,,,-0.000500016,0.577860571094789,-0.953591781202704,,-0.000500016,-1.53000264964066,
,,,-0.00049992,0.553991224616766,-0.983742529060692,,-0.00049992,-1.53586202394217,
,,,-0.000499824,0.556503787403926,-0.98876765370369,,-0.000499824,-1.54367452301085,
,,,-0.000499728,0.555247506010346,-0.98876765370369,,-0.000499728,-1.54172139824368,
,,,-0.000499632,0.557760068797506,-0.9636420304887,,-0.000499632,-1.51828390103765,
,,,-0.000499536,0.556503787403926,-0.93851640727371,,-0.000499536,-1.49289327906445,
,,,-0.00049944,0.551478661829606,-0.98876765370369,,-0.00049944,-1.53781514870934,
,,,-0.000499344,0.561528912978247,-0.98876765370369,,-0.000499344,-1.54758077254519,
,,,-0.000499248,0.551478661829606,-0.943541531916708,,-0.000499248,-1.49289327906445,
,,,-0.000499152,0.547709817648865,-0.98876765370369,,-0.000499152,-1.533908899175,
,,,-0.000499056,0.550222380436026,-0.973692279774696,,-0.000499056,-1.52219015057199,
,,,-0.00049896,0.545197254861705,-0.968667155131698,,-0.00049896,-1.51242452673614,
,,,-0.000498864,0.552734943223186,-0.968667155131698,,-0.000498864,-1.51828390103765,
,,,-0.000498768,0.550222380436026,-0.98876765370369,,-0.000498768,-1.53586202394217,
,,,-0.000498672,0.545197254861705,-0.98876765370369,,-0.000498672,-1.53195577440783,
,,,-0.000498576,0.543940973468125,-0.968667155131698,,-0.000498576,-1.51047140196897,
,,,-0.00049848,0.545197254861705,-0.98876765370369,,-0.00049848,-1.53195577440783,
,,,-0.000498384,0.552734943223186,-0.983742529060692,,-0.000498384,-1.533908899175,
,,,-0.000498288,0.550222380436026,-0.98876765370369,,-0.000498288,-1.53586202394217,
,,,-0.000498192,0.550222380436026,-0.928466157987714,,-0.000498192,-1.47726828092709,
,,,-0.000498096,0.537659566500224,-0.958616905845702,,-0.000498096,-1.49484640383162,
,,,-0.000498,0.545197254861705,-0.958616905845702,,-0.000498,-1.50070577813312,
,,,-0.000497904,0.547709817648865,-0.933491282630712,,-0.000497904,-1.47922140569426,
,,,-0.000497808,0.548966099042445,-0.968667155131698,,-0.000497808,-1.51633077627048,
,,,-0.000497712,0.542684692074545,-0.948566656559706,,-0.000497712,-1.48898702953011,
,,,-0.000497616,0.546453536255285,-0.908365659415722,,-0.000497616,-1.45187765895389,
,,,-0.00049752,0.546453536255285,-0.923441033344716,,-0.00049752,-1.46750265709125,
,,,-0.000497424,0.543940973468125,-0.908365659415722,,-0.000497424,-1.44992453418672,
,,,-0.000497328,0.537659566500224,-0.933491282630712,,-0.000497328,-1.46945578185841,
,,,-0.000497232,0.537659566500224,-0.91339078405872,,-0.000497232,-1.44797140941955,
,,,-0.000497136,0.538915847893804,-0.93851640727371,,-0.000497136,-1.47531515615992,
,,,-0.00049704,0.543940973468125,-0.9636420304887,,-0.00049704,-1.50461202766746,
,,,-0.000496944,0.548966099042445,-0.953591781202704,,-0.000496944,-1.50070577813312,
,,,-0.000496848,0.533890722319484,-0.91339078405872,,-0.000496848,-1.44601828465238,
,,,-0.000496752,0.533890722319484,-0.943541531916708,,-0.000496752,-1.47531515615992,
,,,-0.000496656,0.527609315351583,-0.908365659415722,,-0.000496656,-1.43429953604937,
,,,-0.00049656,0.532634440925904,-0.943541531916708,,-0.00049656,-1.47336203139275,
,,,-0.000496464,0.532634440925904,-0.928466157987714,,-0.000496464,-1.45969015802257,
,,,-0.000496368,0.537659566500224,-0.93851640727371,,-0.000496368,-1.47336203139275,
,,,-0.000496272,0.533890722319484,-0.943541531916708,,-0.000496272,-1.47531515615992,
,,,-0.000496176,0.533890722319484,-0.908365659415722,,-0.000496176,-1.44015891035087,
,,,-0.00049608,0.532634440925904,-0.918415908701718,,-0.00049608,-1.44797140941955,
,,,-0.000495984,0.533890722319484,-0.908365659415722,,-0.000495984,-1.44015891035087,
,,,-0.000495888,0.533890722319484,-0.923441033344716,,-0.000495888,-1.45578390848823,
,,,-0.000495792,0.527609315351583,-0.908365659415722,,-0.000495792,-1.43429953604937,
,,,-0.000495696,0.531378159532323,-0.908365659415722,,-0.000495696,-1.4382057855837,
,,,-0.0004956,0.532634440925904,-0.908365659415722,,-0.0004956,-1.4382057855837,
,,,-0.000495504,0.540172129287384,-0.948566656559706,,-0.000495504,-1.48703390476294,
,,,-0.000495408,0.533890722319484,-0.933491282630712,,-0.000495408,-1.46554953232408,
,,,-0.000495312,0.527609315351583,-0.933491282630712,,-0.000495312,-1.45969015802257,
,,,-0.000495216,0.527609315351583,-0.98876765370369,,-0.000495216,-1.51437765150331,
,,,-0.00049512,0.526353033958003,-0.908365659415722,,-0.00049512,-1.4323464112822,
,,,-0.000495024,0.521327908383682,-0.908365659415722,,-0.000495024,-1.42844016174786,
,,,-0.000494928,0.530121878138743,-0.923441033344716,,-0.000494928,-1.45187765895389,
,,,-0.000494832,0.527609315351583,-0.928466157987714,,-0.000494832,-1.45383078372106,
,,,-0.000494736,0.533890722319484,-0.91339078405872,,-0.000494736,-1.44601828465238,
,,,-0.00049464,0.533890722319484,-0.918415908701718,,-0.00049464,-1.44992453418672,
,,,-0.000494544,0.521327908383682,-0.908365659415722,,-0.000494544,-1.42844016174786,
,,,-0.000494448,0.528865596745163,-0.933491282630712,,-0.000494448,-1.45969015802257,
,,,-0.000494352,0.521327908383682,-0.918415908701718,,-0.000494352,-1.4382057855837,
,,,-0.000494256,0.522584189777263,-0.908365659415722,,-0.000494256,-1.42844016174786,
,,,-0.00049416,0.530121878138743,-0.958616905845702,,-0.00049416,-1.48703390476294,
,,,-0.000494064,0.517559064202942,-0.908365659415722,,-0.000494064,-1.42453391221352,
,,,-0.000493968,0.528865596745163,-0.908365659415722,,-0.000493968,-1.43429953604937,
,,,-0.000493872,0.518815345596522,-0.928466157987714,,-0.000493872,-1.44601828465238,
,,,-0.000493776,0.521327908383682,-0.948566656559706,,-0.000493776,-1.46750265709125,
,,,-0.00049368,0.521327908383682,-0.943541531916708,,-0.00049368,-1.46359640755691,
,,,-0.000493584,0.515046501415782,-0.908365659415722,,-0.000493584,-1.42062766267918,
,,,-0.000493488,0.516302782809362,-0.91339078405872,,-0.000493488,-1.42844016174786,
,,,-0.000493392,0.523840471170843,-0.908365659415722,,-0.000493392,-1.43039328651503,
,,,-0.000493296,0.527609315351583,-0.953591781202704,,-0.000493296,-1.47922140569426,
,,,-0.0004932,0.513790220022202,-0.923441033344716,,-0.0004932,-1.43429953604937,
,,,-0.000493104,0.513790220022202,-0.908365659415722,,-0.000493104,-1.42062766267918,
,,,-0.000493008,0.520071626990102,-0.91339078405872,,-0.000493008,-1.43039328651503,
,,,-0.000492912,0.513790220022202,-0.943541531916708,,-0.000492912,-1.45578390848823,
,,,-0.000492816,0.531378159532323,-0.968667155131698,,-0.000492816,-1.49875265336595,
,,,-0.00049272,0.513790220022202,-0.953591781202704,,-0.00049272,-1.46554953232408,
,,,-0.000492624,0.521327908383682,-0.943541531916708,,-0.000492624,-1.46359640755691,
,,,-0.000492528,0.527609315351583,-0.908365659415722,,-0.000492528,-1.43429953604937,
,,,-0.000492432,0.513790220022202,-0.9636420304887,,-0.000492432,-1.47531515615992,
,,,-0.000492336,0.515046501415782,-0.958616905845702,,-0.000492336,-1.47140890662558,
,,,-0.00049224,0.530121878138743,-0.93851640727371,,-0.00049224,-1.46554953232408,
,,,-0.000492144,0.520071626990102,-0.958616905845702,,-0.000492144,-1.47726828092709,
,,,-0.000492048,0.513790220022202,-0.93851640727371,,-0.000492048,-1.44992453418672,
,,,-0.000491952,0.522584189777263,-0.93851640727371,,-0.000491952,-1.45969015802257,
,,,-0.000491856,0.515046501415782,-0.978717404417694,,-0.000491856,-1.49094015429728,
,,,-0.00049176,0.516302782809362,-0.933491282630712,,-0.00049176,-1.44797140941955,
,,,-0.000491664,0.513790220022202,-0.93851640727371,,-0.000491664,-1.44992453418672,
,,,-0.000491568,0.515046501415782,-0.908365659415722,,-0.000491568,-1.42062766267918,
,,,-0.000491472,0.512533938628621,-0.91339078405872,,-0.000491472,-1.42453391221352,
,,,-0.000491376,0.516302782809362,-0.943541531916708,,-0.000491376,-1.4577370332554,
,,,-0.00049128,0.513790220022202,-0.933491282630712,,-0.00049128,-1.44601828465238,
,,,-0.000491184,0.513790220022202,-0.93851640727371,,-0.000491184,-1.44992453418672,
,,,-0.000491088,0.513790220022202,-0.908365659415722,,-0.000491088,-1.42062766267918,
,,,-0.000490992,0.510021375841461,-0.91339078405872,,-0.000490992,-1.42062766267918,
,,,-0.000490896,0.511277657235041,-0.928466157987714,,-0.000490896,-1.4382057855837,
,,,-0.0004908,0.513790220022202,-0.9636420304887,,-0.0004908,-1.47531515615992,
,,,-0.000490704,0.513790220022202,-0.93851640727371,,-0.000490704,-1.44992453418672,
,,,-0.000490608,0.512533938628621,-0.93851640727371,,-0.000490608,-1.44992453418672,
,,,-0.000490512,0.512533938628621,-0.943541531916708,,-0.000490512,-1.45383078372106,
,,,-0.000490416,0.510021375841461,-0.93851640727371,,-0.000490416,-1.44601828465238,
,,,-0.00049032,0.513790220022202,-0.968667155131698,,-0.00049032,-1.48117453046143,
,,,-0.000490224,0.507508813054301,-0.933491282630712,,-0.000490224,-1.4382057855837,
,,,-0.000490128,0.510021375841461,-0.908365659415722,,-0.000490128,-1.41672141314484,
,,,-0.000490032,0.513790220022202,-0.943541531916708,,-0.000490032,-1.45578390848823,
,,,-0.000489936,0.506252531660721,-0.93851640727371,,-0.000489936,-1.44211203511804,
