Instrument in Sequence,1 - 34461A - USB0::0x2A8D::0x1301::MY57212367::0::INSTR,,,,,,,,,,
Instrument in Sequence,2 - 34450A - USB0::0x0957::0xB318::MY53180202::0::INSTR,,,,,,,,,,
Instrument in Sequence,3 - E3631A - ASRL3::INSTR,,,,,,,,,,
Start Time,2022-12-02 10:09:34.603,,,,,,,,,,
Stop Time,2022-12-02 10:26:23.634,,,,,,,,,,
,,,,,,,,,,,
Time,Step,3 - Set CH1 On/Off,3 - Set CH2 On/Off,3 - Sweep CH2 Voltage Setting,3 - Get CH2 Voltage Setting,3 - Get CH2 Current Measurement,3 - Sweep CH1 Voltage Setting,1 - Get Measurement Value,2 - Get Measurement Value,3 - Set CH1 On/Off,3 - Set CH2 On/Off ()
2022-12-02 10:15:01.836,139,,,2,,,0.55,9.15140965E-08,0.549186708,,
2022-12-02 10:15:04.038,140,,,2,,,0.6,9.55758886E-08,0.599245401,,
2022-12-02 10:15:06.293,141,,,2,,,0.65,1.01979274E-07,0.649085304,,
2022-12-02 10:15:08.593,142,,,2,,,0.7,1.06084467E-07,0.699106675,,
2022-12-02 10:15:10.716,143,,,2,,,0.75,1.11233353E-07,0.74906534,,
2022-12-02 10:15:12.954,144,,,2,,,0.8,1.1529216E-07,0.799093598,,
2022-12-02 10:15:15.235,145,,,2,,,0.85,1.22017953E-07,0.849046119,,
2022-12-02 10:15:17.514,146,,,2,,,0.9,1.24895975E-07,0.898790563,,
2022-12-02 10:15:19.718,147,,,2,,,0.95,1.30557867E-07,0.948738564,,
2022-12-02 10:15:21.979,148,,,2,,,1,1.35889543E-07,0.998717634,,
2022-12-02 10:15:24.255,149,,,2,,,1.05,1.41174603E-07,1.04876303,,
2022-12-02 10:15:26.414,150,,,2,,,1.1,1.4552321E-07,1.09873066,,
2022-12-02 10:15:28.686,151,,,2,,,1.15,1.51454235E-07,1.14844667,,
2022-12-02 10:15:30.984,152,,,2,,,1.2,1.5629518E-07,1.19839887,,
2022-12-02 10:15:33.548,153,,,2,,,1.25,1.60320919E-07,1.24874885,,
2022-12-02 10:15:35.830,154,,,2,,,1.3,1.65139131E-07,1.29874774,,
2022-12-02 10:15:37.996,155,,,2,,,1.35,1.71578109E-07,1.34881461,,
2022-12-02 10:15:40.396,156,,,2,,,1.4,1.76901289E-07,1.39874081,,
2022-12-02 10:15:42.653,157,,,2,,,1.45,1.8058579E-07,1.44878716,,
2022-12-02 10:15:44.770,158,,,2,,,1.5,1.86288557E-07,1.49878977,,
2022-12-02 10:15:46.937,159,,,2,,,1.55,1.92076519E-07,1.54880059,,
2022-12-02 10:15:49.250,160,,,2,,,1.6,1.96720667E-07,1.59877086,,
2022-12-02 10:15:51.507,161,,,2,,,1.65,2.0076317E-07,1.64874883,,
2022-12-02 10:15:53.650,162,,,2,,,1.7,2.0687354E-07,1.69875773,,
2022-12-02 10:15:55.948,163,,,2,,,1.75,2.10390637E-07,1.7486578,,
2022-12-02 10:15:58.209,164,,,2,,,1.8,2.16703316E-07,1.79870371,,
2022-12-02 10:16:00.392,165,,,2,,,1.85,2.21362619E-07,1.84870158,,
2022-12-02 10:16:02.732,166,,,2,,,1.9,2.26360865E-07,1.89866814,,
2022-12-02 10:16:05.012,167,,,2,,,1.95,2.30863787E-07,1.9486091,,
2022-12-02 10:16:07.190,168,,,2,,,2,2.36394327E-07,1.99864376,,
2022-12-02 10:16:09.482,169,,,2,,,2.05,2.40680243E-07,2.04862026,,
2022-12-02 10:16:11.768,170,,,2,,,2.1,2.45359755E-07,2.09874635,,
2022-12-02 10:16:13.949,171,,,2,,,2.15,2.51369774E-07,2.14866316,,
2022-12-02 10:16:16.281,172,,,2,,,2.2,2.55096069E-07,2.19830747,,
2022-12-02 10:16:18.572,173,,,2,,,2.25,2.61135252E-07,2.24850424,,
2022-12-02 10:16:20.724,174,,,2,,,2.3,2.67464006E-07,2.29847986,,
2022-12-02 10:16:22.970,175,,,2,,,2.35,2.7238739E-07,2.34841182,,
2022-12-02 10:16:25.273,176,,,2,,,2.4,2.75458305E-07,2.39844658,,
2022-12-02 10:16:27.463,177,,,2,,,2.45,2.7992816E-07,2.44843284,,
2022-12-02 10:16:29.632,178,,,2,,,2.5,2.85770086E-07,2.49844085,,
2022-12-02 10:16:31.966,179,,,2,,,2.55,2.91889182E-07,2.54844854,,
2022-12-02 10:16:34.249,180,,,2,,,2.6,2.95693553E-07,2.59848791,,
2022-12-02 10:16:36.426,181,,,2,,,2.65,3.02470096E-07,2.64849231,,
2022-12-02 10:16:38.754,182,,,2,,,2.7,3.06094662E-07,2.69841661,,
2022-12-02 10:16:41.049,183,,,2,,,2.75,3.10415023E-07,2.74837064,,
2022-12-02 10:16:43.185,184,,,2,,,2.8,3.15489049E-07,2.79830416,,
2022-12-02 10:16:45.503,185,,,2,,,2.85,3.20819118E-07,2.84834476,,
2022-12-02 10:16:47.840,186,,,2,,,2.9,3.26259182E-07,2.89825561,,
2022-12-02 10:16:50.065,187,,,2,,,2.95,3.31744254E-07,2.94823927,,
2022-12-02 10:16:52.367,188,,,2,,,3,3.37000381E-07,2.99834019,,
2022-12-02 10:16:57.110,189,,,3,3,0.005867395,3,,,,
2022-12-02 10:17:00.045,190,,,3,,,0,2.91635435E-07,-0.000504712676,,
2022-12-02 10:17:02.238,191,,,3,,,0.05,2.95390434E-07,0.0494376453,,
2022-12-02 10:17:04.527,192,,,3,,,0.1,3.01079653E-07,0.099096392,,
2022-12-02 10:17:06.991,193,,,3,,,0.15,3.05886153E-07,0.149037309,,
2022-12-02 10:17:09.286,194,,,3,,,0.2,3.10157372E-07,0.199076988,,
2022-12-02 10:17:11.567,195,,,3,,,0.25,3.15908822E-07,0.249025103,,
2022-12-02 10:17:13.705,196,,,3,,,0.3,3.19583908E-07,0.299014812,,
2022-12-02 10:17:15.976,197,,,3,,,0.35,3.24552761E-07,0.348978612,,
2022-12-02 10:17:18.224,198,,,3,,,0.4,3.29982721E-07,0.399039529,,
2022-12-02 10:17:20.469,199,,,3,,,0.45,3.36163359E-07,0.44899136,,
2022-12-02 10:17:22.718,200,,,3,,,0.5,3.40053155E-07,0.498985507,,
2022-12-02 10:17:25.035,201,,,3,,,0.55,3.45350615E-07,0.548942284,,
2022-12-02 10:17:27.264,202,,,3,,,0.6,3.50747278E-07,0.598993585,,
2022-12-02 10:17:29.507,203,,,3,,,0.65,3.54692186E-07,0.648847435,,
2022-12-02 10:17:31.772,204,,,3,,,0.7,3.59776774E-07,0.698856345,,
2022-12-02 10:17:34.001,205,,,3,,,0.75,3.66013903E-07,0.748812562,,
2022-12-02 10:17:36.163,206,,,3,,,0.8,3.71109744E-07,0.798857418,,
2022-12-02 10:17:38.497,207,,,3,,,0.85,3.7569832E-07,0.848800718,,
2022-12-02 10:17:40.805,208,,,3,,,0.9,3.80250384E-07,0.898547772,,
2022-12-02 10:17:42.937,209,,,3,,,0.95,3.8532395E-07,0.948514152,,
2022-12-02 10:17:45.196,210,,,3,,,1,3.90646211E-07,0.998472664,,
2022-12-02 10:17:47.488,211,,,3,,,1.05,3.96589406E-07,1.04851705,,
2022-12-02 10:17:49.661,212,,,3,,,1.1,4.00582078E-07,1.09846724,,
2022-12-02 10:17:51.907,213,,,3,,,1.15,4.04487718E-07,1.14820843,,
2022-12-02 10:17:54.169,214,,,3,,,1.2,4.10712217E-07,1.19813262,,
2022-12-02 10:17:56.605,215,,,3,,,1.25,4.15707248E-07,1.24856456,,
2022-12-02 10:17:58.895,216,,,3,,,1.3,4.2087129E-07,1.29851554,,
2022-12-02 10:18:01.203,217,,,3,,,1.35,4.2505433E-07,1.34842579,,
2022-12-02 10:18:03.300,218,,,3,,,1.4,4.31879096E-07,1.39843924,,
2022-12-02 10:18:05.563,219,,,3,,,1.45,4.36133323E-07,1.44856971,,
2022-12-02 10:18:07.830,220,,,3,,,1.5,4.41693486E-07,1.49853332,,
2022-12-02 10:18:09.975,221,,,3,,,1.55,4.45774108E-07,1.54852279,,
2022-12-02 10:18:12.243,222,,,3,,,1.6,4.50684404E-07,1.59854653,,
2022-12-02 10:18:14.524,223,,,3,,,1.65,4.55161606E-07,1.64852426,,
2022-12-02 10:18:16.681,224,,,3,,,1.7,4.60380991E-07,1.6983756,,
2022-12-02 10:18:18.952,225,,,3,,,1.75,4.67297152E-07,1.74836713,,
2022-12-02 10:18:21.216,226,,,3,,,1.8,4.71271453E-07,1.79835201,,
2022-12-02 10:18:23.410,227,,,3,,,1.85,4.77167343E-07,1.84837383,,
2022-12-02 10:18:25.713,228,,,3,,,1.9,4.80957018E-07,1.8982735,,
2022-12-02 10:18:27.999,229,,,3,,,1.95,4.86615465E-07,1.94832978,,
2022-12-02 10:18:30.186,230,,,3,,,2,4.91284643E-07,1.9983258,,
2022-12-02 10:18:32.356,231,,,3,,,2.05,4.96335245E-07,2.04835889,,
2022-12-02 10:18:34.647,232,,,3,,,2.1,5.01787021E-07,2.09826223,,
2022-12-02 10:18:36.914,233,,,3,,,2.15,5.05374846E-07,2.14827055,,
2022-12-02 10:18:39.061,234,,,3,,,2.2,5.11512542E-07,2.19801617,,
2022-12-02 10:18:41.340,235,,,3,,,2.25,5.14693223E-07,2.24807727,,
2022-12-02 10:18:43.643,236,,,3,,,2.3,5.21653933E-07,2.29809976,,
2022-12-02 10:18:45.836,237,,,3,,,2.35,5.25512498E-07,2.34806678,,
2022-12-02 10:18:48.099,238,,,3,,,2.4,5.31494961E-07,2.39806226,,
2022-12-02 10:18:50.361,239,,,3,,,2.45,5.3754953E-07,2.44800909,,
2022-12-02 10:18:52.556,240,,,3,,,2.5,5.40952039E-07,2.49806745,,
2022-12-02 10:18:54.803,241,,,3,,,2.55,5.45914461E-07,2.54798828,,
2022-12-02 10:18:57.099,242,,,3,,,2.6,5.50963686E-07,2.5980112,,
2022-12-02 10:18:59.237,243,,,3,,,2.65,5.55969969E-07,2.64810914,,
2022-12-02 10:19:01.483,244,,,3,,,2.7,5.6102103E-07,2.69798053,,
2022-12-02 10:19:03.738,245,,,3,,,2.75,5.65907903E-07,2.74789003,,
2022-12-02 10:19:05.921,246,,,3,,,2.8,5.7158564E-07,2.79776296,,
2022-12-02 10:19:08.057,247,,,3,,,2.85,5.76351724E-07,2.84791651,,
2022-12-02 10:19:10.333,248,,,3,,,2.9,5.80239223E-07,2.89791304,,
2022-12-02 10:19:12.599,249,,,3,,,2.95,5.86802893E-07,2.94792494,,
2022-12-02 10:19:14.717,250,,,3,,,3,5.90370051E-07,2.99780739,,
2022-12-02 10:19:19.446,251,,,4,4,0.01040794,3,,,,
2022-12-02 10:19:22.225,252,,,4,,,0,6.04228321E-07,-0.000838390602,,
2022-12-02 10:19:24.543,253,,,4,,,0.05,6.08248549E-07,0.0491042622,,
2022-12-02 10:19:26.694,254,,,4,,,0.1,6.13239676E-07,0.0987675426,,
2022-12-02 10:19:29.260,255,,,4,,,0.15,6.15718591E-07,0.148692133,,
2022-12-02 10:19:31.411,256,,,4,,,0.2,6.21107676E-07,0.198730961,,
2022-12-02 10:19:33.656,257,,,4,,,0.25,6.27343427E-07,0.248685282,,
2022-12-02 10:19:35.886,258,,,4,,,0.3,6.3044741E-07,0.298678616,,
2022-12-02 10:19:38.097,259,,,4,,,0.35,6.35844303E-07,0.348625632,,
2022-12-02 10:19:40.336,260,,,4,,,0.4,6.41712637E-07,0.398670857,,
2022-12-02 10:19:42.593,261,,,4,,,0.45,6.46801359E-07,0.448637583,,
2022-12-02 10:19:44.842,262,,,4,,,0.5,6.51684557E-07,0.498611293,,
2022-12-02 10:19:47.048,263,,,4,,,0.55,6.55201424E-07,0.548579995,,
2022-12-02 10:19:49.301,264,,,4,,,0.6,6.61203636E-07,0.598621476,,
2022-12-02 10:19:51.663,265,,,4,,,0.65,6.66249646E-07,0.648462067,,
