Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.0345776,0.31055281450972,0.63819095864892,
,,,-0.0344768,-0.401005049236119,-0.62814068607986,
,,,-0.034376,-0.396984948311001,-0.648241188377142,
,,,-0.0342752,-0.396984948311001,-0.648241188377142,
,,,-0.0341744,-0.392964847385883,-0.62814068607986,
,,,-0.0340736,-0.388944746460766,-0.648241188377142,
,,,-0.0339728,0.31055281450972,0.437185935676098,
,,,-0.033872,0.31055281450972,0.618090456351638,
,,,-0.0337712,0.31055281450972,0.618090456351638,
,,,-0.0336704,0.31055281450972,0.63819095864892,
,,,-0.0335696,0.31055281450972,0.618090456351638,
,,,-0.0334688,-0.405025150161237,-0.62814068607986,
,,,-0.033368,-0.401005049236119,-0.62814068607986,
,,,-0.0332672,-0.401005049236119,-0.62814068607986,
,,,-0.0331664,-0.396984948311001,-0.648241188377142,
,,,-0.0330656,-0.388944746460766,-0.648241188377142,
,,,-0.0329648,0.31055281450972,0.557788949459791,
,,,-0.032864,0.31055281450972,0.618090456351638,
,,,-0.0327632,0.31055281450972,0.63819095864892,
,,,-0.0326624,0.31055281450972,0.63819095864892,
,,,-0.0325616,0.31055281450972,0.618090456351638,
,,,-0.0324608,-0.401005049236119,-0.62814068607986,
,,,-0.03236,-0.401005049236119,-0.648241188377142,
,,,-0.0322592,-0.396984948311001,-0.648241188377142,
,,,-0.0321584,-0.396984948311001,-0.648241188377142,
,,,-0.0320576,-0.392964847385883,-0.62814068607986,
,,,-0.0319568,0.31055281450972,0.597989954054356,
,,,-0.031856,0.31055281450972,0.618090456351638,
,,,-0.0317552,0.31055281450972,0.618090456351638,
,,,-0.0316544,0.31055281450972,0.63819095864892,
,,,-0.0315536,0.31055281450972,0.63819095864892,
,,,-0.0314528,-0.401005049236119,-0.62814068607986,
,,,-0.031352,-0.401005049236119,-0.648241188377142,
,,,-0.0312512,-0.392964847385883,-0.62814068607986,
,,,-0.0311504,-0.392964847385883,-0.648241188377142,
,,,-0.0310496,-0.392964847385883,-0.62814068607986,
,,,-0.0309488,0.31055281450972,0.597989954054356,
,,,-0.030848,0.31055281450972,0.618090456351638,
,,,-0.0307472,0.31055281450972,0.63819095864892,
,,,-0.0306464,0.31055281450972,0.618090456351638,
,,,-0.0305456,0.31055281450972,0.618090456351638,
,,,-0.0304448,-0.401005049236119,-0.62814068607986,
,,,-0.030344,-0.401005049236119,-0.648241188377142,
,,,-0.0302432,-0.396984948311001,-0.648241188377142,
,,,-0.0301424,-0.392964847385883,-0.648241188377142,
,,,-0.0300416,-0.392964847385883,-0.648241188377142,
,,,-0.0299408,0.31055281450972,0.618090456351638,
,,,-0.02984,0.31055281450972,0.63819095864892,
,,,-0.0297392,0.31055281450972,0.63819095864892,
,,,-0.0296384,0.31055281450972,0.63819095864892,
,,,-0.0295376,0.31055281450972,0.63819095864892,
,,,-0.0294368,-0.401005049236119,-0.648241188377142,
,,,-0.029336,-0.401005049236119,-0.648241188377142,
,,,-0.0292352,-0.396984948311001,-0.648241188377142,
,,,-0.0291344,-0.392964847385883,-0.648241188377142,
,,,-0.0290336,-0.388944746460766,-0.648241188377142,
,,,-0.0289328,0.31055281450972,0.618090456351638,
,,,-0.028832,0.31055281450972,0.618090456351638,
,,,-0.0287312,0.31055281450972,0.63819095864892,
,,,-0.0286304,0.31055281450972,0.618090456351638,
,,,-0.0285296,0.31055281450972,0.63819095864892,
,,,-0.0284288,-0.401005049236119,-0.62814068607986,
,,,-0.028328,-0.401005049236119,-0.648241188377142,
,,,-0.0282272,-0.401005049236119,-0.648241188377142,
,,,-0.0281264,-0.388944746460766,-0.62814068607986,
,,,-0.0280256,-0.392964847385883,-0.648241188377142,
,,,-0.0279248,0.31055281450972,0.63819095864892,
,,,-0.027824,0.31055281450972,0.618090456351638,
,,,-0.0277232,0.31055281450972,0.63819095864892,
,,,-0.0276224,0.31055281450972,0.618090456351638,
,,,-0.0275216,0.31055281450972,0.63819095864892,
,,,-0.0274208,-0.401005049236119,-0.62814068607986,
,,,-0.02732,-0.401005049236119,-0.62814068607986,
,,,-0.0272192,-0.392964847385883,-0.648241188377142,
,,,-0.0271184,-0.396984948311001,-0.648241188377142,
,,,-0.0270176,-0.388944746460766,-0.648241188377142,
,,,-0.0269168,0.31055281450972,0.618090456351638,
,,,-0.026816,0.31055281450972,0.618090456351638,
,,,-0.0267152,0.31055281450972,0.618090456351638,
,,,-0.0266144,0.31055281450972,0.618090456351638,
,,,-0.0265136,0.31055281450972,0.63819095864892,
,,,-0.0264128,-0.405025150161237,-0.62814068607986,
,,,-0.026312,-0.396984948311001,-0.648241188377142,
,,,-0.0262112,-0.396984948311001,-0.648241188377142,
,,,-0.0261104,-0.392964847385883,-0.648241188377142,
,,,-0.0260096,-0.388944746460766,-0.648241188377142,
,,,-0.0259088,0.31055281450972,0.618090456351638,
,,,-0.025808,0.31055281450972,0.63819095864892,
,,,-0.0257072,0.31055281450972,0.618090456351638,
,,,-0.0256064,0.31055281450972,0.63819095864892,
,,,-0.0255056,0.31055281450972,0.63819095864892,
,,,-0.0254048,-0.401005049236119,-0.648241188377142,
,,,-0.025304,-0.401005049236119,-0.648241188377142,
,,,-0.0252032,-0.396984948311001,-0.648241188377142,
,,,-0.0251024,-0.392964847385883,-0.648241188377142,
,,,-0.0250016,-0.388944746460766,-0.648241188377142,
,,,-0.0249008,0.31055281450972,0.63819095864892,
,,,-0.0248,0.31055281450972,0.63819095864892,
,,,-0.0246992,0.31055281450972,0.618090456351638,
,,,-0.0245984,0.31055281450972,0.63819095864892,
,,,-0.0244976,-0.405025150161237,-0.608040183782578,
,,,-0.0243968,-0.401005049236119,-0.648241188377142,
,,,-0.024296,-0.401005049236119,-0.648241188377142,
,,,-0.0241952,-0.396984948311001,-0.648241188377142,
,,,-0.0240944,-0.392964847385883,-0.648241188377142,
,,,-0.0239936,0.31055281450972,-0.567839179188013,
,,,-0.0238928,0.31055281450972,0.63819095864892,
,,,-0.023792,0.31055281450972,0.63819095864892,
,,,-0.0236912,0.31055281450972,0.63819095864892,
,,,-0.0235904,0.31055281450972,0.63819095864892,
,,,-0.0234896,-0.401005049236119,-0.608040183782578,
,,,-0.0233888,-0.401005049236119,-0.648241188377142,
,,,-0.023288,-0.401005049236119,-0.648241188377142,
,,,-0.0231872,-0.396984948311001,-0.648241188377142,
,,,-0.0230864,-0.392964847385883,-0.648241188377142,
,,,-0.0229856,0.31055281450972,-0.527638174593449,
,,,-0.0228848,0.31055281450972,0.618090456351638,
,,,-0.022784,0.31055281450972,0.618090456351638,
,,,-0.0226832,0.31055281450972,0.618090456351638,
,,,-0.0225824,0.31055281450972,0.63819095864892,
,,,-0.0224816,-0.401005049236119,-0.62814068607986,
,,,-0.0223808,-0.401005049236119,-0.648241188377142,
,,,-0.02228,-0.396984948311001,-0.648241188377142,
,,,-0.0221792,-0.392964847385883,-0.648241188377142,
,,,-0.0220784,-0.392964847385883,-0.648241188377142,
,,,-0.0219776,0.31055281450972,0.236180912703276,
,,,-0.0218768,0.31055281450972,0.618090456351638,
,,,-0.021776,0.31055281450972,0.618090456351638,
,,,-0.0216752,0.31055281450972,0.618090456351638,
,,,-0.0215744,0.31055281450972,0.618090456351638,
