Serial Number,MY57000085,
Model Number,U1282A,
Remark,-,
Date Time,12/6/2022 11:21:21 AM
Record,Time,Function,Reading,Range,Unit
186,12/6/2022 10:53:40.625,Current {DC},0.04,600 uA,uA
187,12/6/2022 10:53:41.626,Current {DC},0.03,600 uA,uA
188,12/6/2022 10:53:42.627,Current {DC},0.03,600 uA,uA
189,12/6/2022 10:53:43.628,Current {DC},0.03,600 uA,uA
190,12/6/2022 10:53:44.629,Current {DC},0.03,600 uA,uA
191,12/6/2022 10:53:45.630,Current {DC},0.03,600 uA,uA
192,12/6/2022 10:53:46.634,Current {DC},0.04,600 uA,uA
193,12/6/2022 10:53:47.636,Current {DC},0.04,600 uA,uA
194,12/6/2022 10:53:48.636,Current {DC},0.04,600 uA,uA
195,12/6/2022 10:53:49.637,Current {DC},0.04,600 uA,uA
196,12/6/2022 10:53:50.639,Current {DC},0.04,600 uA,uA
197,12/6/2022 10:53:51.639,Current {DC},0.04,600 uA,uA
198,12/6/2022 10:53:52.643,Current {DC},0.04,600 uA,uA
199,12/6/2022 10:53:53.643,Current {DC},0.04,600 uA,uA
200,12/6/2022 10:53:54.645,Current {DC},0.04,600 uA,uA
